"","gene_ensembl","gene_symbol","cell_type","DX","baseMean","log2fc","lfcSE","stat","pvalue","padj"
"1","ENSG00000006638","TBXA2R","PVALB","MDD",22.54253559049,-14.2377486008937,2.78854724791052,-5.10579428466282,3.29407898908309e-07,0.00039015620559865
"2","ENSG00000104415","CCN4","PVALB","MDD",18.5536945204422,27.1002577707157,3.85375385937957,7.0321714254679,2.03343748890869e-12,3.61265587873241e-09
"3","ENSG00000114013","CD86","PVALB","MDD",13.4028405313458,22.021698269442,3.52857077905873,6.24096826968465,4.34870465772395e-10,6.18081393002305e-07
"4","ENSG00000130829","DUSP9","PVALB","MDD",5.47028726180729,26.8429114115339,3.21542236065794,8.34817588506204,6.93252860405632e-17,3.28440096831508e-13
"5","ENSG00000143194","MAEL","PVALB","MDD",13.2482550259525,-20.858945709427,2.52870750628984,-8.24885664219491,1.59917133690276e-16,5.68225555284973e-13
"6","ENSG00000150722","PPP1R1C","PVALB","MDD",10.3117206536804,-19.5853351890919,2.70155885487004,-7.24964224036278,4.17873914177617e-13,8.48463134600924e-10
"7","ENSG00000153162","BMP6","PVALB","MDD",12.2453226318256,25.5988597250817,2.97671975929998,8.59968750672777,7.99334466756489e-18,5.68047038800499e-14
"8","ENSG00000163293","NIPAL1","PVALB","MDD",25.8267689929382,21.3015555310306,2.13033632603274,9.99915143478769,1.53708490369269e-23,2.18465877361841e-19
"9","ENSG00000165509","MAGEC3","PVALB","MDD",61.2423667753293,-6.76210974752441,1.64388827686688,-4.11348498719903,3.8973039775093e-05,0.0395659867373855
"10","ENSG00000172320","OR5A1","PVALB","MDD",33.3895532079437,10.168940811709,2.39587784684528,4.24434861113591,2.19229311396863e-05,0.0239685092529509
"11","ENSG00000173376","NDNF","PVALB","MDD",3.43147185513497,-26.7786386784994,3.65142569591909,-7.33374876241566,2.23802473854543e-13,5.30150760149102e-10
"12","ENSG00000176194","CIDEA","PVALB","MDD",11.7741752281905,25.0714206862358,3.65704415702619,6.85565161636529,7.09881863837541e-12,1.12106121452477e-08
"13","ENSG00000179344","HLA-DQB1","PVALB","MDD",6.17462370764314,27.2719390147452,3.53674154121562,7.71103534056138,1.24801094709599e-14,3.54759591821507e-11
"14","ENSG00000285749","","PVALB","MDD",13.2521470515995,22.7497176544015,4.1699763542848,5.45559871844965,4.8808105962888e-08,6.30645100045934e-05
"15","ENSG00000104415","CCN4","PVALB","BD",18.5536945204422,23.1654217849192,3.84719251279071,6.02138356942144,1.72932398436013e-09,2.04824014914254e-06
"16","ENSG00000114013","CD86","PVALB","BD",13.4028405313458,22.0092506661464,3.51555010357157,6.26054245217169,3.83640614953617e-10,5.45268406033575e-07
"17","ENSG00000122679","RAMP3","PVALB","BD",11.4464694206302,-25.9545013400205,3.01602388052431,-8.6055357544147,7.59611167186394e-18,2.15927070384404e-14
"18","ENSG00000130829","DUSP9","PVALB","BD",5.47028726180729,15.4815206797689,3.2348275148453,4.78588753456591,1.70233367520944e-06,0.00151220428285949
"19","ENSG00000153162","BMP6","PVALB","BD",12.2453226318256,22.3332973109585,2.97487566124078,7.50730445710242,6.03572436134258e-14,1.42976250579604e-10
"20","ENSG00000163293","NIPAL1","PVALB","BD",25.8267689929382,23.2837080704466,2.12119746195772,10.9766810907634,4.94768691889882e-28,7.0321474178309e-24
"21","ENSG00000164935","DCSTAMP","PVALB","BD",15.4782478068397,-24.1336549301349,2.5860981143279,-9.33207243624129,1.03820687516317e-20,3.77349188968806e-17
"22","ENSG00000165606","DRGX","PVALB","BD",10.635842205844,-22.781148076881,3.14006151109152,-7.25500057766765,4.01660121157445e-13,8.15542186001537e-10
"23","ENSG00000172320","OR5A1","PVALB","BD",33.3895532079437,10.975831291337,2.38686534207935,4.59842920245147,4.25688321999371e-06,0.00355900477681003
"24","ENSG00000176194","CIDEA","PVALB","BD",11.7741752281905,22.7316799762616,3.65204926378672,6.22436290815302,4.83516715219527e-10,6.24747552128649e-07
"25","ENSG00000178403","NEUROG2","PVALB","BD",2.4328625301988,-22.6954839507696,4.17067318445293,-5.44168361965445,5.27793517371113e-08,5.35823518742544e-05
"26","ENSG00000179344","HLA-DQB1","PVALB","BD",6.17462370764314,20.0861037082638,3.5393013413176,5.67516065212638,1.38558559099174e-08,1.51487138498196e-05
"27","ENSG00000181634","TNFSF15","PVALB","BD",16.2508718521026,-23.9506918576405,2.45562220001477,-9.75341070686545,1.78372579547538e-22,1.26760473655458e-18
"28","ENSG00000183807","FAM162B","PVALB","BD",17.0909864636385,-23.3324408675493,2.50088524806432,-9.32967271713429,1.0619832237214e-20,3.77349188968806e-17
"29","ENSG00000184371","CSF1","PVALB","BD",33.9682637126227,8.435748747663,1.76013633701819,4.79266780092377,1.64578016218003e-06,0.00151220428285949
"30","ENSG00000204257","HLA-DMA","PVALB","BD",43.9787463387427,-6.80851896986429,1.64227995241706,-4.1457724426604,3.38670044665507e-05,0.0240675867241542
"31","ENSG00000213215","OR2F1","PVALB","BD",21.5466808729103,10.0685545758023,2.31024034740329,4.3582281761806,1.31119643043398e-05,0.010353352703199
"32","ENSG00000214300","SPDYE3","PVALB","BD",1125.99499665414,-1.37235167604861,0.316625411038916,-4.33430681241164,1.46220128573481e-05,0.0109380351969205
"33","ENSG00000236125","USP17L4","PVALB","BD",15.0705461733753,-9.11786344754658,2.28250583970738,-3.99467256071313,6.47837233852388e-05,0.0438462409749714
"34","ENSG00000250913","USP17L23","PVALB","BD",9.31402027723847,-30,4.15581810825905,-7.21879524524416,5.24501582045689e-13,9.31842623201923e-10
"35","ENSG00000285749","","PVALB","BD",13.2521470515995,27.2252862333432,4.1485696116358,6.56257186982772,5.28875350903583e-11,8.35211706932514e-08
"36","ENSG00000104415","CCN4","PVALB","SCZ",18.5536945204422,24.9279650541384,3.8584933472738,6.46054374351873,1.0432742944936e-10,2.9656115095275e-07
"37","ENSG00000114013","CD86","PVALB","SCZ",13.4028405313458,21.4859935380605,3.53084585807451,6.08522558098233,1.163274082813e-09,2.36194493414589e-06
"38","ENSG00000121361","KCNJ8","PVALB","SCZ",5.78918250632087,-23.1537388270899,3.41762325535535,-6.77480725554182,1.245722229904e-11,5.90181668454187e-08
"39","ENSG00000122694","GLIPR2","PVALB","SCZ",14.1984054390788,-11.1224993542948,2.54579138716775,-4.36897516833414,1.24830958106742e-05,0.016129294614283
"40","ENSG00000130829","DUSP9","PVALB","SCZ",5.47028726180729,20.0123025247,3.23448029587037,6.18717713329426,6.12511268440672e-10,1.45093710972454e-06
"41","ENSG00000147113","DIPK2B","PVALB","SCZ",15.1992657276244,-23.2707408113346,2.76944465539371,-8.4026740761954,4.36424717265379e-17,3.10145225324641e-13
"42","ENSG00000153162","BMP6","PVALB","SCZ",12.2453226318256,19.9611308273259,2.99617702551141,6.66220008276007,2.69758425690424e-11,9.58519126084499e-08
"43","ENSG00000156453","PCDH1","PVALB","SCZ",3303.78512408592,0.586452008534949,0.140828530473455,4.16429828929793,3.12311591805395e-05,0.0341452665717699
"44","ENSG00000163293","NIPAL1","PVALB","SCZ",25.8267689929382,23.0602711927933,2.13006219152525,10.826102300929,2.58944408646209e-27,3.68037688008858e-23
"45","ENSG00000173068","BNC2","PVALB","SCZ",23.2363646296052,9.40199730575116,2.19417862986811,4.2849735102544,1.82760962934372e-05,0.0216465130515519
"46","ENSG00000176194","CIDEA","PVALB","SCZ",11.7741752281905,19.7325639522082,3.67427955368665,5.37045798064254,7.85369320719964e-08,0.000124027268393254
"47","ENSG00000179344","HLA-DQB1","PVALB","SCZ",6.17462370764314,14.7744357427045,3.56828047548251,4.14049171420772,3.4656212798337e-05,0.034259551043345
"48","ENSG00000180921","FAM83H","PVALB","SCZ",56.5371591634644,-6.43587312186553,1.18288129065414,-5.44084446403449,5.30285974054944e-08,9.42119318655365e-05
"49","ENSG00000181085","MAPK15","PVALB","SCZ",35.1298163772484,-8.25586178303007,1.68284361735701,-4.90589957253205,9.30001036416289e-07,0.00132181047305847
"50","ENSG00000204193","TXNDC8","PVALB","SCZ",2.62140694736569,-17.3032962732496,4.18888911638486,-4.13076015919535,3.61565655139784e-05,0.034259551043345
"51","ENSG00000039068","CDH1","PyrL2n3","MDD",7.90137862699279,-20.7719510036651,2.44891619325367,-8.48209957567685,2.21166159700488e-17,6.28686925564608e-14
"52","ENSG00000079689","SCGN","PyrL2n3","MDD",1.47031009972134,-26.0340759962076,4.15169860635386,-6.27070470779463,3.59417675243136e-10,4.25700284852558e-07
"53","ENSG00000100987","VSX1","PyrL2n3","MDD",19.1403108792785,20.2266652233816,2.96049276484987,6.83219545865275,8.36248011318738e-12,1.18855929848732e-08
"54","ENSG00000102048","ASB9","PyrL2n3","MDD",3.09882337702818,17.9463029255494,4.14732599678671,4.32719852248267,1.51017838786487e-05,0.0134151033917021
"55","ENSG00000123307","NEUROD4","PyrL2n3","MDD",15.4250854277105,-23.3280068765792,2.40448789723886,-9.70186080094951,2.96049314314314e-22,4.20774890434935e-18
"56","ENSG00000151388","ADAMTS12","PyrL2n3","MDD",11.3416145490027,21.3836516879718,2.61787856292168,8.1683130725921,3.12731487823024e-16,7.40808772738106e-13
"57","ENSG00000163273","NPPC","PyrL2n3","MDD",2.5668735578024,-21.4014789560798,3.53661921846419,-6.05139474567848,1.43597094133618e-09,1.56995807609316e-06
"58","ENSG00000163286","ALPG","PyrL2n3","MDD",2.30350086973328,-20.5560875146928,4.14536928057962,-4.95880731567022,7.09272709763512e-07,0.000720063787419199
"59","ENSG00000168631","MUCL3","PyrL2n3","MDD",11.053010854577,20.0905558932262,2.53774900874566,7.91668357429738,2.43929485486368e-15,4.95281396745394e-12
"60","ENSG00000169896","ITGAM","PyrL2n3","MDD",19.4710683068564,-8.51767783523916,1.91878276127427,-4.43910483622573,9.03338093292316e-06,0.00855942954664246
"61","ENSG00000174837","ADGRE1","PyrL2n3","MDD",8.07173651515197,21.9037731310817,2.43935286787258,8.97933768400817,2.72401532070063e-19,1.29054765843727e-15
"62","ENSG00000184860","SDR42E1","PyrL2n3","MDD",7.89173792892878,17.5533144226753,2.71612026560152,6.46264255857166,1.0289013590192e-10,1.32943409233999e-07
"63","ENSG00000197496","SLC2A10","PyrL2n3","MDD",8.60069105513493,20.4815577077604,2.62295945056365,7.80856818177615,5.78413021090852e-15,1.02762303359554e-11
"64","ENSG00000213215","OR2F1","PyrL2n3","MDD",12.0534120398683,-19.6056348491905,2.29228747244736,-8.55286916883013,1.20065962769237e-17,4.2662438220979e-14
"65","ENSG00000215343","ZNF705D","PyrL2n3","MDD",10.9668801159981,-20.9612260361913,2.87813782064819,-7.28291254359409,3.26689028454597e-13,5.15914573491687e-10
"66","ENSG00000285749","","PyrL2n3","MDD",10.9783644640842,-22.7990208554977,2.51064726762961,-9.08093349051899,1.07647590315056e-19,7.64997600573944e-16
"67","ENSG00000079689","SCGN","PyrL2n3","BD",1.47031009972134,-20.8591234047942,4.13808523911578,-5.04076697300015,4.63669786327828e-07,0.000470724190934101
"68","ENSG00000100987","VSX1","PyrL2n3","BD",19.1403108792785,23.1466311486826,2.94328483123913,7.86421718449106,3.71412678800925e-15,8.79814733966259e-12
"69","ENSG00000102048","ASB9","PyrL2n3","BD",3.09882337702818,25.1181279139829,4.1143111123423,6.10506284724858,1.02760238805609e-09,1.32775570376738e-06
"70","ENSG00000109743","BST1","PyrL2n3","BD",8.28874269018235,-21.2790404189919,2.65493174706064,-8.01491053114666,1.10217216924399e-15,3.57156968332917e-12
"71","ENSG00000112081","SRSF3","PyrL2n3","BD",587.026198078926,0.936206240722958,0.235156268845759,3.98120894381525,6.85656432037382e-05,0.0464058803264158
"72","ENSG00000125430","HS3ST3B1","PyrL2n3","BD",19.0509375200157,-24.1606055705228,3.08323884043118,-7.83611222513791,4.64710566976071e-15,9.13544425252178e-12
"73","ENSG00000127472","PLA2G5","PyrL2n3","BD",31.3386367994833,10.8825235980701,2.36744476414643,4.59673812157291,4.29156455818065e-06,0.0040664004710281
"74","ENSG00000127507","ADGRE2","PyrL2n3","BD",30.1334496370844,5.40610783476006,1.34628963280288,4.01556077016276,5.93046146131532e-05,0.0429817218533634
"75","ENSG00000134259","NGF","PyrL2n3","BD",5.5383162582039,-30,4.02526875544837,-7.4529185062224,9.12976827872747e-14,1.44179329495059e-10
"76","ENSG00000140873","ADAMTS18","PyrL2n3","BD",11.5529755770603,10.1726414307318,2.38719307613749,4.26134003672264,2.03204776636564e-05,0.0169891146490322
"77","ENSG00000144354","CDCA7","PyrL2n3","BD",10.8036764785247,8.60501728061155,1.96245073376164,4.3848322572243,1.16075188765055e-05,0.0103111041119858
"78","ENSG00000151388","ADAMTS12","PyrL2n3","BD",11.3416145490027,23.816875784855,2.60362024825009,9.14759969348927,5.8212559393592e-20,8.27375106661123e-16
"79","ENSG00000168631","MUCL3","PyrL2n3","BD",11.053010854577,22.3714937592516,2.51681677226841,8.88880509926362,6.17695691953906e-19,4.38965443487043e-15
"80","ENSG00000169228","RAB24","PyrL2n3","BD",43.0369856633363,4.14810765475131,0.985227015508689,4.21030644659045,2.55024529523999e-05,0.0201370202118033
"81","ENSG00000174837","ADGRE1","PyrL2n3","BD",8.07173651515197,19.4861883137591,2.43614101216085,7.99879326216627,1.2564446926508e-15,3.57156968332917e-12
"82","ENSG00000176294","OR4N2","PyrL2n3","BD",7.08317587709381,10.7583075356033,2.68225344697293,4.01092131981213,6.04822653252141e-05,0.0429817218533634
"83","ENSG00000179165","PXT1","PyrL2n3","BD",3.86857740735425,-21.9783713742759,3.63650042606892,-6.04382477634813,1.50502961777062e-09,1.78258216311449e-06
"84","ENSG00000184860","SDR42E1","PyrL2n3","BD",7.89173792892878,21.0074029573148,2.68520522963155,7.82338821833645,5.14202167172126e-15,9.13544425252178e-12
"85","ENSG00000197496","SLC2A10","PyrL2n3","BD",8.60069105513493,21.6793387584496,2.6128743962992,8.29712242928923,1.06663441880647e-16,5.05335833149877e-13
"86","ENSG00000198142","SOWAHC","PyrL2n3","BD",8.97506397373198,-24.4410762739171,4.11436070030342,-5.94043110321239,2.84273512655061e-09,3.10798418105106e-06
"87","ENSG00000204193","TXNDC8","PyrL2n3","BD",10.2503686819064,23.6932633783639,3.69947048430998,6.4045012600724,1.50861708425374e-10,2.14419746184984e-07
"88","ENSG00000060718","COL11A1","PyrL2n3","SCZ",1210.20544733528,-0.991468819189971,0.242778513060383,-4.08384089140283,4.42973669623047e-05,0.0419732317756824
"89","ENSG00000100987","VSX1","PyrL2n3","SCZ",19.1403108792785,23.9878641795242,2.95374294718599,8.12117527098194,4.61690702885144e-16,1.64050249002664e-12
"90","ENSG00000140873","ADAMTS18","PyrL2n3","SCZ",11.5529755770603,10.0441869570447,2.39843041013999,4.18781671320556,2.81650826470978e-05,0.0285935942616572
"91","ENSG00000144354","CDCA7","PyrL2n3","SCZ",10.8036764785247,9.12333640125157,1.96909809723792,4.63325642031191,3.59958229056826e-06,0.00426340525798723
"92","ENSG00000151388","ADAMTS12","PyrL2n3","SCZ",11.3416145490027,19.64372745797,2.62725502344819,7.47690166453205,7.60953104357902e-14,1.54506092460555e-10
"93","ENSG00000168631","MUCL3","PyrL2n3","SCZ",11.053010854577,23.534387422696,2.52300166852473,9.32793177122914,1.07956871679371e-20,7.67195508589453e-17
"94","ENSG00000172123","SLFN12","PyrL2n3","SCZ",4.28749927861723,-17.8233650256112,3.4890501336033,-5.10837171812266,3.24946903721069e-07,0.000461847034258755
"95","ENSG00000174837","ADGRE1","PyrL2n3","SCZ",8.07173651515197,20.0229309759447,2.44307553655461,8.19578874101552,2.48955246985626e-16,1.17946697513557e-12
"96","ENSG00000175538","KCNE3","PyrL2n3","SCZ",14.718785383053,-24.3507031397698,2.51881231582641,-9.66753377644192,4.14239996444745e-22,5.88759306946916e-18
"97","ENSG00000177575","CD163","PyrL2n3","SCZ",62.9166296960027,6.41256769560286,1.27413614314925,5.03287480704619,4.83178685449809e-07,0.000624310786936195
"98","ENSG00000180730","SHISA2","PyrL2n3","SCZ",1.66892085792338,-22.2076868027951,4.15351514539197,-5.34672103638118,8.95618905177225e-08,0.000141438127769821
"99","ENSG00000184205","TSPYL2","PyrL2n3","SCZ",7693.63035375477,0.375042890884911,0.0856080378398699,4.38093081383818,1.18173393046038e-05,0.0129199879643333
"100","ENSG00000184860","SDR42E1","PyrL2n3","SCZ",7.89173792892878,21.7715731606258,2.69417518614225,8.0809790219322,6.42488633860589e-16,1.82633819061211e-12
"101","ENSG00000197496","SLC2A10","PyrL2n3","SCZ",8.60069105513493,20.9964653669223,2.62327533816927,8.00391215570047,1.20527386635998e-15,2.85509291042907e-12
"102","ENSG00000204193","TXNDC8","PyrL2n3","SCZ",10.2503686819064,21.942385168201,3.71644987552469,5.90412514714818,3.54522974478536e-09,6.29854379532929e-06
"103","ENSG00000117971","CHRNB4","PyrL5n6","MDD",10.5013019679129,-24.5170643112669,3.08904332550973,-7.93678227456432,2.07493817601654e-15,1.47455481478615e-11
"104","ENSG00000124614","RPS10","PyrL5n6","MDD",34.6118904026423,-6.7751755892254,1.53231477365919,-4.42152990083506,9.80044988515399e-06,0.0198991134596705
"105","ENSG00000140287","HDC","PyrL5n6","MDD",13.0154443978199,24.6555536294009,3.38061668613771,7.29321183632012,3.02651649463323e-13,1.43386263127407e-09
"106","ENSG00000146233","CYP39A1","PyrL5n6","MDD",10.4217322653156,21.5344151510078,2.60620067098182,8.26276172467383,1.42340193798335e-16,2.02308117445574e-12
"107","ENSG00000186510","CLCNKA","PyrL5n6","MDD",3.06106801302391,20.5303565173525,4.13833060209126,4.96102377779526,7.01226064973623e-07,0.00166108767691168
"108","ENSG00000215262","KCNU1","PyrL5n6","MDD",22.9289945305362,13.3785451618279,2.2057018287855,6.06543685426164,1.31595466431443e-09,3.7407327287802e-06
"109","ENSG00000231824","AKAIN1","PyrL5n6","MDD",9.50694589300149,19.4941812313967,3.19254303396817,6.10616083291019,1.02056170197479e-09,3.62631086754192e-06
"110","ENSG00000016402","IL20RA","PyrL5n6","BD",8.43102764790357,-20.114766691631,2.83238681340812,-7.10170185668516,1.23229853415546e-12,5.83821968865052e-09
"111","ENSG00000100987","VSX1","PyrL5n6","BD",12.0852637403903,-25.080468072368,2.68434513085407,-9.34323525842156,9.34345498170976e-21,1.32798525655041e-16
"112","ENSG00000140287","HDC","PyrL5n6","BD",13.0154443978199,30,3.35929949576892,8.93043327568303,4.24343542650664e-19,3.01559738584694e-15
"113","ENSG00000146233","CYP39A1","PyrL5n6","BD",10.4217322653156,18.0373670718322,2.61986437935819,6.88484763331566,5.7849418966117e-12,2.05553447941355e-08
"114","ENSG00000164756","SLC30A8","PyrL5n6","BD",21.1936711276776,7.40846221393767,1.62129552759671,4.56947057944424,4.88957796437193e-06,0.00992793880108832
"115","ENSG00000172320","OR5A1","PyrL5n6","BD",11.4795221834439,11.3684982845306,2.60422348908361,4.36540808889293,1.26885646940693e-05,0.0225428212496009
"116","ENSG00000186510","CLCNKA","PyrL5n6","BD",3.06106801302391,22.0030323647507,4.11965540974659,5.34098854789998,9.24410967519906e-08,0.000218977551356007
"117","ENSG00000231824","AKAIN1","PyrL5n6","BD",9.50694589300149,19.4290363947243,3.18255055225865,6.10486340301351,1.02888637053518e-09,2.92471239688329e-06
"118","ENSG00000029559","IBSP","PyrL5n6","SCZ",3.25655946693962,-24.4013136826954,4.13990091640847,-5.89417818817376,3.76550666822254e-09,1.07038292550894e-05
"119","ENSG00000087245","MMP2","PyrL5n6","SCZ",13.725154332052,-25.3487799215353,2.27304569206164,-11.1519007339198,7.0092879344978e-29,9.96230094130173e-25
"120","ENSG00000122420","PTGFR","PyrL5n6","SCZ",24.8823769430562,9.65367804202216,2.1771871767877,4.43401382524471,9.24946909149661e-06,0.0146743398192682
"121","ENSG00000124507","PACSIN1","PyrL5n6","SCZ",10403.1234676514,0.35128105937046,0.0792418910896395,4.43302216214258,9.29213103309743e-06,0.0146743398192682
"122","ENSG00000129244","ATP1B2","PyrL5n6","SCZ",2103.38969855622,0.623038906919892,0.15013669737623,4.14981092436454,3.32750018246479e-05,0.03637981545644
